cql://better_reads/book_by_id?start=-1025812732500516802&end=-880194362132198675;1;3984;1:3984;
cql://better_reads/book_by_id?start=-1171431102868834929&end=-1025812732500516802;1;4009;1:4009;
cql://better_reads/book_by_id?start=-1317049473237153056&end=-1171431102868834929;1;3975;1:3975;
cql://better_reads/book_by_id?start=-1462667843605471183&end=-1317049473237153056;1;3941;1:3941;
cql://better_reads/book_by_id?start=-1608286213973789311&end=-1462667843605471183;1;4007;1:4007;
cql://better_reads/book_by_id?start=-1753904584342107438&end=-1608286213973789311;1;3911;1:3911;
cql://better_reads/book_by_id?start=-175946229368567655&end=-36288788769739432;1;3840;1:3840;
cql://better_reads/book_by_id?start=-1899522954710425565&end=-1753904584342107438;1;3923;1:3923;
cql://better_reads/book_by_id?start=-2045141325078743692&end=-1899522954710425565;1;3959;1:3959;
cql://better_reads/book_by_id?start=-2190759695447061819&end=-2045141325078743692;1;3925;1:3925;
cql://better_reads/book_by_id?start=-2316123886568020573&end=-2190759695447061819;1;3352;1:3352;
cql://better_reads/book_by_id?start=-2441488077688979327&end=-2316123886568020573;1;3370;1:3370;
cql://better_reads/book_by_id?start=-2566852268809938081&end=-2441488077688979327;1;3401;1:3401;
cql://better_reads/book_by_id?start=-2714772809552377663&end=-2566852268809938081;1;3920;1:3920;
cql://better_reads/book_by_id?start=-2862693350294817245&end=-2714772809552377663;1;4013;1:4013;
cql://better_reads/book_by_id?start=-3010613891037256826&end=-2862693350294817245;1;4094;1:4094;
cql://better_reads/book_by_id?start=-315603669967395878&end=-175946229368567655;1;3802;1:3802;
cql://better_reads/book_by_id?start=-3158534431779696408&end=-3010613891037256826;1;3984;1:3984;
cql://better_reads/book_by_id?start=-3306454972522135989&end=-3158534431779696408;1;4011;1:4011;
cql://better_reads/book_by_id?start=-3454375513264575571&end=-3306454972522135989;1;3943;1:3943;
cql://better_reads/book_by_id?start=-3602296054007015152&end=-3454375513264575571;1;4025;1:4025;
cql://better_reads/book_by_id?start=-36288788769739432&end=111541196064302668;1;4032;1:4032;
cql://better_reads/book_by_id?start=-3750216594749454734&end=-3602296054007015152;1;3988;1:3988;
cql://better_reads/book_by_id?start=-3898137135491894315&end=-3750216594749454734;1;3947;1:3947;
cql://better_reads/book_by_id?start=-4049717450312176056&end=-3898137135491894315;1;4061;1:4061;
cql://better_reads/book_by_id?start=-4201297765132457797&end=-4049717450312176056;1;4137;1:4137;
cql://better_reads/book_by_id?start=-4352878079952739538&end=-4201297765132457797;1;4088;1:4088;
cql://better_reads/book_by_id?start=-4504458394773021279&end=-4352878079952739538;1;4170;1:4170;
cql://better_reads/book_by_id?start=-455261110566224101&end=-315603669967395878;1;3921;1:3921;
cql://better_reads/book_by_id?start=-4656038709593303020&end=-4504458394773021279;1;4046;1:4046;
cql://better_reads/book_by_id?start=-4801621086453625588&end=-4656038709593303020;1;3911;1:3911;
cql://better_reads/book_by_id?start=-4947203463313948155&end=-4801621086453625588;1;3897;1:3897;
cql://better_reads/book_by_id?start=-5092785840174270723&end=-4947203463313948155;1;3965;1:3965;
cql://better_reads/book_by_id?start=-5238368217034593290&end=-5092785840174270723;1;3922;1:3922;
cql://better_reads/book_by_id?start=-5383950593894915857&end=-5238368217034593290;1;3815;1:3815;
cql://better_reads/book_by_id?start=-5529532970755238425&end=-5383950593894915857;1;3991;1:3991;
cql://better_reads/book_by_id?start=-5675115347615560992&end=-5529532970755238425;1;3869;1:3869;
cql://better_reads/book_by_id?start=-5820697724475883559&end=-5675115347615560992;1;3955;1:3955;
cql://better_reads/book_by_id?start=-594918551165052324&end=-455261110566224101;1;3793;1:3793;
cql://better_reads/book_by_id?start=-5966280101336206127&end=-5820697724475883559;1;3909;1:3909;
cql://better_reads/book_by_id?start=-6111862478196528694&end=-5966280101336206127;1;3943;1:3943;
cql://better_reads/book_by_id?start=-6257444855056851262&end=-6111862478196528694;1;3913;1:3913;
cql://better_reads/book_by_id?start=-6403027231917173829&end=-6257444855056851262;1;3914;1:3914;
cql://better_reads/book_by_id?start=-6548609608777496396&end=-6403027231917173829;1;3909;1:3909;
cql://better_reads/book_by_id?start=-6694191985637818964&end=-6548609608777496396;1;3908;1:3908;
cql://better_reads/book_by_id?start=-6839774362498141531&end=-6694191985637818964;1;3920;1:3920;
cql://better_reads/book_by_id?start=-6985356739358464098&end=-6839774362498141531;1;4013;1:4013;
cql://better_reads/book_by_id?start=-7140310707544683498&end=-6985356739358464098;1;4191;1:4191;
cql://better_reads/book_by_id?start=-7295264675730902898&end=-7140310707544683498;1;4140;1:4140;
cql://better_reads/book_by_id?start=-734575991763880547&end=-594918551165052324;1;3814;1:3814;
cql://better_reads/book_by_id?start=-7450218643917122298&end=-7295264675730902898;1;4248;1:4248;
cql://better_reads/book_by_id?start=-7604870141497189364&end=-7450218643917122298;1;4123;1:4123;
cql://better_reads/book_by_id?start=-7759521639077256430&end=-7604870141497189364;1;4232;1:4232;
cql://better_reads/book_by_id?start=-7914173136657323495&end=-7759521639077256430;1;4255;1:4255;
